"","census","d_cutoff","group","x","y","density","soiltype"
"446",1,10,"1",410,350,2.73313275707276e-06,"4"
"447",1,10,"1",430,350,2.17668035902893e-06,"4"
"448",1,10,"1",450,350,2.19513825440982e-06,"2"
"449",1,10,"1",470,350,2.6670209617504e-06,"2"
"450",1,10,"1",490,350,3.52752673322743e-06,"2"
"451",1,10,"1",10,370,5.8432865479525e-06,"1"
"452",1,10,"1",30,370,4.77565221506149e-06,"1"
"453",1,10,"1",50,370,4.33281679914e-06,"3"
"454",1,10,"1",70,370,4.21525138725483e-06,"3"
"455",1,10,"1",90,370,4.08854637788072e-06,"3"
"456",1,10,"1",110,370,4.34281803269572e-06,"3"
"457",1,10,"1",130,370,4.66247728220368e-06,"1"
"458",1,10,"1",150,370,4.16279287506402e-06,"3"
"459",1,10,"1",170,370,2.91457659676599e-06,"3"
"460",1,10,"1",190,370,2.26505760050234e-06,"3"
"461",1,10,"1",210,370,2.70246668421652e-06,"3"
"462",1,10,"1",230,370,3.13732346224088e-06,"3"
"463",1,10,"1",250,370,3.16361292514722e-06,"2"
"464",1,10,"1",270,370,3.03463839988283e-06,"2"
"465",1,10,"1",290,370,2.71893146916196e-06,"2"
"466",1,10,"1",310,370,2.91193856319879e-06,"2"
"467",1,10,"1",330,370,3.83493968305057e-06,"3"
"468",1,10,"1",350,370,5.17058336882e-06,"3"
"469",1,10,"1",370,370,5.90634499311363e-06,"1"
"470",1,10,"1",390,370,4.95626677288957e-06,"1"
"471",1,10,"1",410,370,3.42721766805122e-06,"4"
"472",1,10,"1",430,370,2.63940301136473e-06,"4"
"473",1,10,"1",450,370,2.49673471779756e-06,"2"
"474",1,10,"1",470,370,2.76174508366726e-06,"2"
"475",1,10,"1",490,370,3.52953072894476e-06,"2"
"476",1,10,"1",10,390,3.7697079151611e-06,"2"
"477",1,10,"1",30,390,3.46597353877242e-06,"2"
